iter	Passed	Remaining
870	1413	209
871	1414	207
872	1416	206
873	1417	204
874	1418	202
875	1419	200
876	1420	199
877	1421	197
878	1422	195
879	1423	194
880	1424	192
881	1426	190
882	1427	189
883	1428	187
884	1430	185
885	1431	184
886	1432	182
887	1433	180
888	1435	179
889	1436	177
890	1437	175
891	1438	174
892	1439	172
893	1440	170
894	1441	169
895	1443	167
896	1445	165
897	1446	164
898	1448	162
899	1449	161
900	1450	159
901	1451	157
902	1452	156
903	1453	154
904	1455	152
905	1456	151
906	1457	149
907	1459	147
908	1460	146
909	1461	144
910	1462	142
911	1463	141
912	1464	139
913	1466	137
914	1467	136
915	1468	134
916	1469	133
917	1470	131
918	1472	129
919	1474	128
920	1475	126
921	1477	124
922	1478	123
923	1479	121
924	1480	120
925	1481	118
926	1482	116
927	1484	115
928	1485	113
929	1487	111
930	1489	110
931	1490	108
932	1491	107
933	1492	105
934	1493	103
935	1495	102
936	1496	100
937	1497	99
938	1498	97
939	1500	95
940	1501	94
941	1503	92
942	1505	90
943	1506	89
944	1507	87
945	1508	86
946	1509	84
947	1510	82
948	1511	81
949	1512	79
950	1513	78
951	1515	76
952	1517	74
953	1518	73
954	1520	71
955	1521	70
956	1522	68
957	1523	66
958	1524	65
959	1525	63
960	1527	61
961	1528	60
962	1529	58
963	1531	57
964	1533	55
965	1534	53
966	1535	52
967	1536	50
968	1537	49
969	1538	47
970	1540	45
971	1541	44
972	1542	42
973	1543	41
974	1545	39
975	1546	38
976	1548	36
977	1549	34
978	1550	33
979	1552	31
980	1553	30
981	1554	28
982	1555	26
983	1556	25
984	1557	23
985	1560	22
986	1562	20
987	1563	18
988	1564	17
989	1565	15
990	1566	14
991	1568	12
992	1569	11
993	1570	9
994	1571	7
995	1573	6
996	1575	4
997	1577	3
998	1578	1
999	1580	0
